retweet,likes,reply,num,image,video,gif
179,691,86,94,25,2,0
167,811,277,96,21,0,0
45,350,37,71,11,4,0
14,93,13,52,9,1,0
103,514,32,45,8,1,0
209,900,53,52,11,1,0
31,200,27,45,10,0,0
26,105,9,52,15,1,0
393,831,71,86,31,1,0
81,333,31,171,99,0,0
160,746,106,124,51,1,0
424,1228,148,187,92,4,0
120,577,99,144,33,4,0
109,1130,106,102,19,4,0
176,680,99,106,28,8,0
254,1419,288,122,22,5,0
334,1925,229,120,16,0,0
419,1841,127,114,24,4,0
106,561,94,85,23,3,0
219,662,62,98,15,2,0
92,516,82,86,16,4,0
116,537,69,87,15,7,0
15,128,57,62,19,4,0
92,567,59,80,17,4,0
137,565,65,64,21,1,0
22,360,29,56,11,1,0
548,1852,140,48,9,0,0
47,236,37,47,9,0,0
64,346,29,37,11,1,0
18,110,17,25,8,0,0
55,251,32,37,10,2,0
14,62,19,24,5,0,0
50,195,26,42,13,2,0
27,112,13,54,13,0,0
45,157,27,51,10,2,0
464,3090,198,105,17,0,0
425,2651,321,100,20,1,0
636,2986,214,131,18,1,0
148,1219,81,96,24,0,0
514,1706,124,102,22,5,0
136,508,61,102,19,3,0
70,373,44,99,22,3,0
336,1480,175,93,22,6,0
228,865,110,95,15,5,0
105,795,123,75,21,2,0
253,1161,117,116,37,4,0
61,415,103,75,15,2,0
46,178,27,60,12,0,0
84,499,42,79,20,1,0
18,83,21,59,5,0,0
31,174,17,41,12,2,0
28,94,16,43,7,1,0
95,943,33,46,11,0,0
61,195,28,45,13,1,0
30,135,18,69,17,1,0
68,331,55,63,15,0,0
166,629,76,90,16,1,0
125,712,108,85,13,0,0
451,2522,242,133,29,1,0
1070,6502,362,180,45,4,0
601,1906,337,240,44,1,0
337,2142,125,157,29,3,0
171,665,132,141,21,2,0
311,1495,161,152,45,1,0
153,749,136,126,33,3,0
119,668,63,142,39,2,0
167,661,112,181,45,6,0
322,1988,202,118,23,0,0
209,863,111,133,21,0,0
246,1115,95,93,17,3,0
49,313,69,67,10,3,0
198,1515,118,73,15,5,0
1045,6874,374,60,12,0,0
68,333,42,55,8,0,0
33,283,103,45,11,0,0
78,120,15,37,9,1,0
50,134,22,50,5,0,0
26,217,54,46,9,0,0
27,82,16,39,9,0,0
31,78,19,41,11,0,0
116,308,54,75,16,0,0
158,779,122,81,15,1,0
733,2587,288,133,31,1,0
496,2076,327,236,43,4,0
636,3185,634,255,61,7,0
595,2980,305,315,56,5,0
595,4024,267,193,43,4,0
523,2492,114,125,26,0,0
116,346,45,96,19,1,0
178,976,141,138,30,1,0
302,1183,135,132,33,1,0
182,1052,120,64,17,1,0
49,335,38,68,19,3,0
108,665,80,64,18,1,0
85,215,35,47,7,1,0
62,299,53,42,11,0,0
68,288,53,43,9,1,0
29,112,23,33,8,1,0
48,193,29,26,7,0,0
9,38,12,24,6,0,0
18,67,10,35,6,0,0
20,61,14,36,10,1,0
66,176,34,27,7,0,0
126,367,66,42,10,1,0
142,548,48,44,9,2,0
66,182,29,44,6,0,0
125,368,45,73,8,3,0
412,2100,159,191,30,1,0
191,1000,132,106,19,0,0
128,460,58,93,20,1,0
190,635,55,118,22,1,0
42,263,32,80,15,0,0
218,945,165,96,13,1,0
166,572,97,63,18,0,0
157,720,63,67,18,2,0
193,428,120,61,11,0,0
44,231,24,60,12,2,0
202,1651,142,55,15,0,0
38,168,24,41,7,1,0
58,203,18,33,7,1,0
25,74,12,25,7,1,0
9,49,11,25,5,0,0
17,69,14,21,5,0,0
4,24,7,20,4,0,0
2,8,7,13,1,0,0
1,10,1,9,2,0,0
4,20,8,14,2,1,0
8,26,4,18,8,0,0
18,63,11,22,5,0,0
23,179,14,31,6,0,0
91,245,36,44,4,1,0
189,1184,132,256,209,1,0
84,481,49,121,69,0,0
289,1002,142,134,64,1,0
1113,2831,192,94,40,3,0
90,551,83,97,37,1,0
255,808,78,77,27,0,0
99,387,63,72,24,2,0
95,417,62,55,18,1,0
72,268,64,82,45,1,0
35,128,24,80,58,0,0
78,398,30,61,35,1,0
62,246,39,58,34,1,0
8,41,9,45,21,2,0
133,566,95,49,26,0,0
23,96,25,77,52,0,0
56,143,32,78,55,1,0
44,151,20,64,49,1,0
3,13,1,31,24,0,0
20,77,7,41,34,0,0
58,199,23,52,31,0,0
14,53,6,53,39,0,0
155,508,45,59,34,0,0
165,377,63,106,70,0,0
253,957,74,82,33,0,0
124,659,128,111,51,0,0
434,3261,353,138,22,4,0
87,463,60,69,24,4,0
52,324,26,52,14,0,0
26,174,24,37,9,2,0
45,162,22,41,15,1,0
39,130,27,36,13,0,0
53,216,30,41,9,1,0
147,631,30,27,5,0,0
17,55,14,22,5,1,0
11,85,6,13,2,0,0
63,218,14,9,5,1,0
80,34,7,14,4,1,0
6,21,5,12,1,1,0
4,13,8,8,2,0,0
4,29,3,9,3,0,0
1,32,3,5,0,0,0
56,281,14,9,3,0,0
4,4,0,7,2,1,0
8,50,2,10,5,0,0
12,40,2,6,4,0,0
5,26,6,16,6,0,0
2,16,1,8,3,0,0
87,23,2,11,2,0,0
8,13,4,12,5,0,0
23,108,14,19,5,0,0
14,87,12,19,3,0,0
6,20,2,9,2,0,0
12,80,55,12,3,0,0
7,21,2,16,3,0,0
10,96,17,15,4,0,0
10,31,2,12,2,0,0
10,31,4,17,5,4,0
3,9,1,10,2,0,0
763,1133,259,8,0,1,0
2,2,1,4,1,0,0
2,13,3,6,1,0,0
1,4,0,15,0,9,0
0,4,2,7,2,0,0
1,11,0,2,0,0,0
0,16,3,7,1,0,0
1,2,0,14,0,10,0
5,7,0,5,0,0,0
5,12,1,8,2,0,0
2,7,2,6,0,0,0
85,361,20,2,1,0,0
55,9,5,13,5,0,0
9,35,6,11,1,0,0
2,54,11,12,2,1,0
75,169,11,11,4,0,0
117,267,34,20,0,2,0
7,82,8,9,0,0,0
27,81,12,19,3,3,0
20,70,9,16,4,0,0
40,6,1,7,1,0,0
7,22,1,8,0,0,0
34,156,3,12,5,0,0
10,25,3,10,4,0,0
8,37,6,18,2,0,0
9,22,2,8,1,0,0
9,30,0,11,1,0,0
5,16,1,11,0,1,0
6,18,6,8,0,0,0
11,39,2,10,1,0,0
6,24,3,11,2,0,0
2,9,0,7,0,0,0
1,5,0,2,0,0,0
3,14,1,8,2,0,0
4,15,1,12,4,1,0
29,149,4,16,5,0,0
3,38,5,17,6,0,0
70,82,15,19,1,1,0
35,157,7,29,9,0,0
33,304,18,27,4,0,0
14,101,5,18,3,0,0
3,24,6,13,2,0,0
3,19,4,21,3,0,0
2,7,4,12,4,0,0
22,59,5,14,1,0,0
53,160,19,12,3,1,0
6,46,4,15,3,1,0
101,692,60,13,1,1,0
28,156,6,5,1,1,0
2,7,1,9,1,0,0
3,10,3,10,2,0,0
2,16,2,6,3,0,0
0,7,0,5,2,0,0
2,8,1,5,2,0,0
11,20,3,13,4,0,0
2,6,1,4,2,0,0
0,0,0,1,0,0,0
0,0,0,3,1,0,0
0,7,1,4,0,0,0
9,11,2,7,1,0,0
15,79,8,9,5,0,0
6,21,2,17,9,0,0
23,231,37,16,3,0,0
102,345,34,28,9,1,0
91,376,32,44,10,0,0
5,39,9,29,5,1,0
73,214,47,27,2,1,0
12,58,12,18,3,0,0
13,28,1,19,11,0,0
9,50,9,20,7,0,0
17,74,21,17,8,0,0
11,59,6,20,14,0,0
45,255,18,14,3,0,0
10,66,12,10,1,0,0
34,215,29,20,9,0,0
23,112,17,20,4,0,0
6,48,50,8,3,0,0
14,61,6,11,6,0,0
5,46,2,11,3,0,0
6,34,3,7,3,0,0
1,1,1,10,3,0,0
4,23,4,9,5,0,0
5,27,5,6,4,0,0
1,25,2,8,2,0,0
10,74,10,17,6,0,0
98,286,21,16,2,1,0
89,340,33,31,6,0,0
47,199,7,32,6,0,0
16,63,9,19,3,0,0
39,154,14,29,3,0,0
125,441,45,47,8,1,0
17,73,12,16,5,1,0
6,22,2,11,1,0,0
11,33,3,14,3,0,0
40,116,15,18,3,0,0
1,5,1,7,2,0,0
12,50,7,10,4,0,0
6,13,0,7,1,1,0
5,18,1,6,2,0,0
2,9,2,10,2,0,0
7,15,0,9,1,0,0
9,43,5,4,1,0,0
2,0,0,3,2,0,0
1,4,0,2,1,0,0
0,0,0,3,2,0,0
3,2,0,5,0,0,0
0,7,0,4,0,0,0
50,112,11,12,1,0,0
44,144,20,18,6,0,0
3,25,22,10,2,0,0
39,172,50,21,4,0,0
6,25,1,12,2,0,0
17,42,14,22,3,0,0
10,26,4,18,6,0,0
77,196,22,43,4,0,0
38,84,8,17,3,0,0
7,66,7,13,1,0,0
11,51,19,15,3,1,0
4,16,2,12,2,0,0
9,41,6,13,1,1,0
