Date,retweet,likes,reply,num,image,video,gif
2021-01-27 21:00:00,1051,4573,344,304,79,4,0
2021-01-27 22:00:00,711,3646,333,339,74,5,0
2021-01-27 23:00:00,4177,17743,675,339,74,8,0
2021-01-28 00:00:00,797,3292,325,444,99,6,0
2021-01-28 01:00:00,524,3046,303,330,82,5,0
2021-01-28 02:00:00,198,1138,106,270,69,9,0
2021-01-28 03:00:00,498,1815,184,267,80,6,0
2021-01-28 04:00:00,274,1537,158,224,58,3,0
2021-01-28 05:00:00,473,3168,216,210,45,6,0
2021-01-28 06:00:00,167,797,58,194,58,6,0
2021-01-28 07:00:00,101,332,53,169,63,1,0
2021-01-28 08:00:00,168,784,61,163,54,2,0
2021-01-28 09:00:00,126,525,73,134,20,1,0
2021-01-28 10:00:00,291,1328,164,163,35,1,0
2021-01-28 11:00:00,1045,5714,354,267,74,3,0
2021-01-28 12:00:00,1249,5257,688,310,60,3,0
2021-01-28 13:00:00,3118,9769,1517,563,113,8,0
2021-01-28 14:00:00,6587,19995,1246,781,135,7,0
2021-01-28 15:00:00,1313,6678,742,693,108,11,0
2021-01-28 16:00:00,5739,16786,1337,863,182,15,0
2021-01-28 17:00:00,2299,10472,707,690,120,9,0
2021-01-28 18:00:00,904,4140,362,579,116,12,0
2021-01-28 19:00:00,2558,10396,629,553,107,8,0
2021-01-28 20:00:00,1608,6840,656,508,117,10,0
2021-01-28 21:00:00,2537,11541,1012,465,71,17,0
2021-01-28 22:00:00,777,3686,305,359,65,12,0
2021-01-28 23:00:00,1192,4758,525,312,53,8,0
2021-01-29 00:00:00,578,2134,162,319,58,6,0
2021-01-29 01:00:00,1255,6806,576,245,37,3,0
2021-01-29 02:00:00,366,1326,233,219,43,6,0
2021-01-29 03:00:00,1298,4576,193,199,36,3,0
2021-01-29 04:00:00,135,592,89,160,32,3,0
2021-01-29 05:00:00,164,653,46,145,25,2,0
2021-01-29 06:00:00,181,799,78,103,19,3,0
2021-01-29 07:00:00,139,607,61,103,23,3,0
2021-01-29 08:00:00,745,1183,106,104,21,3,0
2021-01-29 09:00:00,154,527,59,117,26,1,0
2021-01-29 10:00:00,530,1981,283,125,29,5,0
2021-01-29 11:00:00,502,1776,148,149,35,5,0
2021-01-29 12:00:00,434,3612,417,188,41,4,0
2021-01-29 13:00:00,599,2043,184,212,39,12,0
2021-01-29 14:00:00,787,4638,342,380,67,4,0
2021-01-29 15:00:00,635,3401,614,454,66,7,0
2021-01-29 16:00:00,521,2132,257,349,65,10,0
2021-01-29 17:00:00,923,6760,282,347,77,12,0
2021-01-29 18:00:00,1001,6589,453,284,56,6,0
2021-01-29 19:00:00,984,3552,324,296,53,3,0
2021-01-29 20:00:00,918,2265,264,274,60,3,0
2021-01-29 21:00:00,2402,9541,546,242,52,3,0
2021-01-29 22:00:00,194,784,123,177,39,5,0
2021-01-29 23:00:00,608,1835,199,165,41,8,0
2021-01-30 00:00:00,348,1819,97,138,38,6,0
2021-01-30 01:00:00,462,2083,63,99,19,4,0
2021-01-30 02:00:00,662,1969,230,101,25,0,0
